,Rooms,Material,Total area,Live area,Kitchen,Toilet type,Price,Floor,TotalFloor
377,4,15,128.2,79.0,14.5,7,11510,3.0,13.0
378,4,15,134.2,70.0,23.5,7,15653,6.0,13.0
379,4,19,156.5,106.0,16.7,1,17156,9.0,13.0
380,4,19,156.5,106.0,16.3,1,18431,7.0,13.0
381,4,19,156.4,106.0,16.4,1,21453,13.0,13.0
382,4,26,137.0,96.0,23.0,7,24500,1.0,5.0
383,4,15,166.0,101.0,25.0,7,25000,10.0,13.0
384,4,13,146.4,79.0,30.0,0,39800,8.0,9.0
385,5,27,130.0,85.0,25.0,7,11500,3.0,6.0
386,5,27,145.0,94.0,16.9,7,12400,5.0,6.0
387,5,14,147.0,80.0,15.5,7,12900,4.0,5.0
388,5,14,178.0,117.0,24.0,7,14500,3.0,5.0
389,5,26,169.7,123.0,15.4,7,21000,6.0,6.0
390,5,26,172.0,125.0,15.0,0,21000,3.0,6.0
391,5,14,140.0,84.0,16.0,0,21600,14.0,18.0
392,5,15,160.0,85.0,16.2,0,26300,9.0,17.0
393,1,15,24.5,17.5,10.0,2,1790,7.0,20.0
394,1,15,23.0,16.0,0.0,8,2100,2.0,15.0
395,1,15,27.7,14.5,5.0,7,2200,20.0,25.0
396,1,15,27.0,19.5,0.0,8,2240,15.0,25.0
397,1,18,46.7,18.0,11.5,7,2450,7.0,22.0
398,1,15,32.0,20.0,0.0,2,2550,5.0,20.0
399,1,15,33.4,18.0,6.0,8,2580,8.0,25.0
400,1,15,44.0,21.0,11.0,7,2620,5.0,11.0
401,1,2,41.0,19.9,13.9,7,2640,10.0,12.0
402,1,15,31.3,19.0,5.0,8,2650,11.0,19.0
403,1,18,33.3,16.0,9.0,7,2700,13.0,19.0
404,1,19,29.5,18.0,0.0,8,2750,10.0,19.0
405,1,15,29.7,18.5,0.0,2,2790,10.0,17.0
406,1,23,29.0,18.5,0.0,8,2800,10.0,19.0
407,1,15,25.3,14.0,5.0,8,2800,4.0,27.0
408,1,16,33.0,18.0,6.3,7,2800,6.0,9.0
409,1,23,29.1,15.0,7.0,7,2800,5.0,5.0
410,1,23,29.3,15.3,6.7,7,2800,1.0,9.0
411,1,15,27.0,19.0,0.0,8,2820,5.0,27.0
412,1,15,35.0,15.0,9.0,8,2850,10.0,27.0
413,1,23,33.0,18.0,6.3,7,2880,9.0,12.0
414,1,18,44.0,18.0,11.2,8,2890,7.0,12.0
415,1,15,35.0,13.5,9.5,8,2900,17.0,27.0
416,1,18,40.0,16.0,9.0,8,2900,3.0,11.0
417,1,15,29.0,18.0,0.0,8,2916,10.0,23.0
418,1,15,31.0,16.0,6.0,8,2950,23.0,25.0
419,1,15,35.7,14.0,10.0,8,2950,19.0,27.0
420,1,15,26.0,19.0,4.0,8,2970,9.0,24.0
421,1,15,29.0,19.8,0.0,5,2990,1.0,12.0
422,1,15,35.8,17.0,9.0,7,3000,17.0,25.0
423,1,14,27.0,15.0,8.0,8,3000,7.0,12.0
424,1,16,32.5,18.0,6.2,7,3020,6.0,9.0
425,1,23,32.6,18.0,6.5,5,3100,2.0,9.0
426,1,23,34.0,18.0,7.0,7,3100,11.0,12.0
427,1,18,34.7,18.2,8.5,8,3100,3.0,10.0
428,1,14,29.9,1.0,7.6,7,3100,2.0,14.0
429,1,10,34.0,18.0,7.0,7,3100,9.0,12.0
430,1,10,33.6,17.4,6.3,7,3100,6.0,12.0
431,1,2,32.1,13.9,7.5,7,3100,7.0,14.0
432,1,15,38.0,18.0,10.0,8,3100,11.0,19.0
433,1,16,33.0,19.5,6.3,7,3120,4.0,9.0
434,1,16,33.0,18.0,6.2,8,3150,5.0,9.0
435,1,14,34.6,13.0,9.2,8,3172,20.0,25.0
436,1,8,31.0,16.0,8.5,7,3180,4.0,9.0
437,1,2,32.0,17.2,7.0,7,3190,11.0,12.0
438,1,23,34.3,18.0,8.0,7,3190,4.0,9.0
439,1,16,32.5,17.5,6.3,7,3200,2.0,12.0
440,1,15,34.0,14.0,9.0,8,3200,10.0,25.0
441,1,23,33.0,17.0,7.2,7,3200,7.0,9.0
442,1,14,30.5,16.6,5.5,8,3200,4.0,5.0
443,1,23,32.4,17.6,7.0,7,3200,12.0,12.0
